Code,denumire_coloana,Shannon,Simpson
74242,Sopot,-0.0,-21.0
74322,Teasc,0.019119162575150353,-19.994461581170214
74359,Terpezita,0.03161200021435183,-19.990000252518875
74411,Teslui,0.11519767771237784,-19.95213452778708
74509,Tuglui,0.03161200021435183,-19.990000252518875
74536,Unirea,0.056576206838521825,-19.979954574398924
74554,Urzicuta,0.6735228117479197,-18.601239817841154
74581,Valea Stanciului,0.1447512439553864,-19.93632691376203
74616,Vela,-0.0,-21.0
74705,Verbita,-0.0,-21.0
74732,Vartop,0.6017247584091909,-19.58860045351474
74750,Varvoru De Jos,0.015128686647250285,-19.995782092653265
74842,Catane,0.6894496118860642,-19.50369300908408
74859,Carcea,0.11432302976975364,-17.95674900728114
74867,Carna,0.38570877484041216,-19.77432762316203
74875,Cotofenii Din Fata,0.6040246678761305,-19.586441651591706
74883,Dobrotesti,-0.0,-21.0
74891,Galiciuica,0.06493140459206787,-19.97631919092342
74907,Ghidici,-0.0,-21.0
74915,Ghindeni,0.2849186602448077,-19.848553233783562
74923,Intorsura,0.03445000744630452,-19.988927678817454
74931,Plesoi,-0.0,-21.0
74949,Rojiste,-0.0,-21.0
74956,Talpas,0.0388124237051986,-19.987241355322585
75098,Municipiul Galati,0.08329746713901673,-4.976220689342136
75114,Sendreni,-0.0,-21.0
75150,Vanatori,-0.0,-21.0
75203,Municipiul Tecuci,0.2083014227258917,-13.904027608341119
75221,Draganesti,0.30372859304664535,-19.835355316843483
75258,Munteni,0.3567888726489552,-18.79866675445843
75338,Oras Beresti,0.027331209542984493,-19.99157909792651
75356,Beresti-Meria,0.02240922303536533,-19.99333155559963
75472,Oras Targu Bujor,0.18215765950680438,-19.91486128810901
75515,Barcea,0.46560718814515306,-19.709671877282688
75542,Balabanesti,-0.0,-21.0
75613,Balasesti,-0.0,-21.0
75668,Baleni,0.010274324438742096,-19.997302163195613
75686,Baneasa,0.052171987463861744,-19.981819712145445
75711,Branistea,-0.0,-21.0
